,Product Name,Prices
0,Nike Cortez Premium,MRP : ₹ 9 695.00
1,Nike Air Trainer 1,MRP : ₹ 11 895.00
2,Nike Zoom Vomero 5 Premium,MRP : ₹ 16 995.00
3,Nike Air Force 1 '07 LX,MRP : ₹ 11 895.00
4,Nike Court Vision Low,MRP : ₹ 5 695.00
5,Nike Air Force 1 '07,MRP : ₹ 7 495.00
6,Nike Air Force 1 '07 EasyOn,MRP : ₹ 9 695.00
7,Nike Air Force 1 '07 Pro Tech,MRP : ₹ 13 995.00
8,Nike Gamma Force,MRP : ₹ 8 495.00
9,Jordan Stadium 90,MRP : ₹ 12 795.00
10,Nike Calm,MRP : ₹ 5 695.00
11,Nike Air Force 1 '07,MRP : ₹ 8 195.00
12,Air Jordan 1 Low SE,MRP : ₹ 10 295.00
13,Nike Air Max 1,MRP : ₹ 12 795.00
14,Tatum 1 'Home Team' PF,MRP : ₹ 10 795.00
15,Nike Zoom Mercurial Superfly 9 Academy KM MG,MRP : ₹ 8 995.00
16,Nike Air Zoom TR 1,MRP : ₹ 10 795.00
17,Air Jordan 1 Zoom CMFT 2,MRP : ₹ 13 295.00
18,Nike Fly.By Mid 3,MRP : ₹ 4 995.00
19,Nike Court Vision Low Next Nature,MRP : ₹ 4 995.00
20,Nike Air Max SC,MRP : ₹ 5 995.00
21,Nike Infinity Pro 2,MRP : ₹ 9 695.00
22,Nike Downshifter 12,MRP : ₹ 3 995.00
23,Nike Metcon 9 EasyOn,MRP : ₹ 12 795.00
